formula_id,formula_label,formula,category,status,nodes,time_ms
1,F1,P(a) or not P(a),Easy propositional,VALID,3,0.05
2,F2,P(a) -> not not P(a),Easy propositional,VALID,2,0.02
3,F3,(P(a) and Q(a)) -> P(a),Easy propositional,VALID,3,0.02
4,F4,P(a) -> (Q(a) -> P(a)),Easy propositional,VALID,3,0.02
5,F5,P(a) -> P(a),Easy propositional,VALID,2,0.01
6,F6,(exists x. P(x)) -> (forall x. P(x)),Medium,UNKNOWN,4,0.04
7,F7,Q(a) -> (P(a) or Q(a)),Easy propositional,VALID,3,0.02
8,F8,(exists x. (P(x) and Q(x))) -> ((exists x. P(x)) and (exists x. Q(x))),Hard,VALID,8,0.1
9,F9,(P(a) and Q(a)) -> Q(a),Easy propositional,VALID,3,0.02
10,F10,P(a) -> (Q(a) -> (P(a) and Q(a))),Easy propositional,VALID,5,0.04
11,F11,P(a) -> ((P(a) -> Q(a)) -> Q(a)),Easy propositional,VALID,5,0.04
12,F12,(not P(a) or Q(a)) -> (P(a) -> Q(a)),Easy propositional,VALID,6,0.06
13,F13,P(a) -> (P(a) and Q(a)),Easy propositional,UNKNOWN,4,0.03
14,F14,((P(a) -> Q(a)) and (Q(a) -> R(a))) -> (P(a) -> R(a)),Easy propositional,VALID,8,0.09
15,F15,(P(a) and (Q(a) or R(a))) -> ((P(a) and Q(a)) or (P(a) and R(a))),Easy propositional,VALID,10,0.14
16,F16,((P(a) or Q(a)) and not P(a)) -> Q(a),Easy propositional,VALID,6,0.06
17,F17,not not P(a) -> P(a),Easy propositional,VALID,2,0.01
18,F18,P(a) -> (exists x. P(x)),Easy FOL,VALID,3,0.04
19,F19,(P(a) or Q(a)) -> P(a),Easy propositional,UNKNOWN,4,0.04
20,F20,P(a) -> (P(a) or Q(a)),Easy propositional,VALID,3,0.02
21,F21,(forall x. P(x)) -> P(a),Easy FOL,VALID,3,0.03
22,F22,not (P(a) and not P(a)),Easy propositional,VALID,4,0.03
23,F23,(forall x. P(x)) -> (exists x. P(x)),Medium,VALID,4,0.05
24,F24,(exists x. ((P(x) and Q(x)) -> P(x))),Easy FOL,VALID,4,0.06
25,F25,(P(a) or Q(a)) -> ((P(a) -> R(a)) -> ((Q(a) -> R(a)) -> R(a))),Easy propositional,VALID,10,0.14
26,F26,(P(a) -> Q(a)) -> (Q(a) -> P(a)),Easy propositional,UNKNOWN,4,0.05
27,F27,(P(a) -> Q(a)) -> (not Q(a) -> not P(a)),Easy propositional,VALID,7,0.07
28,F28,P(a) -> (not P(a) -> Q(a)),Easy propositional,VALID,4,0.03
29,F29,(P(a) or Q(a)) -> (Q(a) or P(a)),Easy propositional,VALID,5,0.05
30,F30,(not Q(a) -> not P(a)) -> (P(a) -> Q(a)),Easy propositional,VALID,7,0.07
31,F31,(forall x. ((P(x) and Q(x)) -> P(x))),Easy FOL,VALID,4,0.03
32,F32,(forall x. (R1(x) -> R2(x))) -> ((forall x. R1(x)) -> (forall x. R2(x))),Hard,VALID,8,0.14
33,F33,(forall x. (P(a) -> F(x))) -> (P(a) -> (forall x. F(x))),Hard,VALID,10,0.14
34,F34,((forall x. (F(x) -> G(x))) or (forall x. (F(x) -> H(x)))) -> forall x. (F(x) -> (G(x) or H(x))),Hard,VALID,13,0.22
35,F35,(not (forall x. R(x))) -> (exists x. not R(x)),Hard,VALID,6,0.05
36,F36,"(forall x. R(x,x)) -> (forall x. (forall y. R(x,y)))",Hard,UNKNOWN,6,0.09
37,F37,"(forall x. (forall y. R(x,y))) -> (forall x. (forall y. R(y,x)))",Complex,VALID,8,0.25
38,F38,((forall x. F(x)) or (forall x. G(x))) -> forall x. (F(x) or G(x)),Hard,VALID,8,0.11
39,F39,forall x. (exists y. (F(x) -> F(y))),Medium,VALID,4,0.05
40,F40,(forall x. ((F(x) and G(x)))) -> ((forall x. F(x)) and (forall x. G(x))),Hard,VALID,10,0.13
41,F41,(forall x. (F(x) -> (G(x) or H(x)))) -> ((forall x. (F(x) -> G(x))) or (forall x. (F(x) -> H(x)))),Hard,UNKNOWN,16,0.41
42,F42,((forall x. (F(x) or G(x))) and (forall x. (not F(x) or H(x))) and (forall x. (not G(x) or J(x)))) -> forall x. (H(x) or J(x)),Complex,VALID,17,0.57
43,F43,(forall x. (not R(x))) -> (not (exists x. R(x))),Hard,VALID,6,0.06
44,F44,(P(a) -> (forall x. F(x))) -> (forall x. (P(a) -> F(x))),Hard,VALID,8,0.1
45,F45,exists x. ((F(x) or G(x)) -> ((exists x. F(x)) or (exists x. G(x)))),Hard,VALID,8,0.51
46,F46,(exists x. (not R(x))) -> (not (forall x. R(x))),Hard,VALID,6,0.06
47,F47,"(forall y. (exists x. R(x,y))) -> (exists x. (forall y. R(x,y)))",Complex,UNKNOWN,82,6.57
48,F48,(exists x. R1(x)) -> (exists x. (R1(x) or R2(x))),Medium,VALID,5,0.06
49,F49,"(exists x. (forall y. R(x,y))) -> (forall y. (exists x. R(x,y)))",Complex,VALID,8,0.13
50,F50,((forall x. (F(x) -> G(x))) and (forall x. (G(x) -> H(x)))) -> forall x. (F(x) -> H(x)),Hard,VALID,11,0.21
51,F51,((exists x. F(x)) or (exists x. G(x))) -> exists x. (F(x) or G(x)),Hard,VALID,12,0.19
52,F52,(forall x. (P(x) or Q(x))) -> ((forall x. P(x)) or (forall x. Q(x))),Hard,UNKNOWN,10,0.21
53,F53,(exists y. (forall x. (F(y) -> F(x)))),Medium,VALID,7,0.1
54,F54,(exists x. (F(x) -> G(x))) -> ((forall x. F(x)) -> exists x. G(x)),Hard,VALID,8,0.11
55,F55,(not (exists x. R(x))) -> (forall x. not R(x)),Hard,VALID,6,0.05
56,F56,not (exists x. (F(x) and G(x))) -> forall x. (F(x) -> not G(x)),Hard,VALID,9,0.11
57,F57,((exists x. P(x)) and (exists x. Q(x))) -> (exists x. (P(x) and Q(x))),Hard,UNKNOWN,10,0.15
58,F58,(forall x. ((P(a) -> R(x)))) -> (P(a) -> (forall x. R(x))),Hard,VALID,10,0.16
59,F59,((forall x. F(x)) and (forall x. G(x))) -> forall x. (F(x) and G(x)),Hard,VALID,9,0.12
60,F60,((exists x. R1(x)) and (forall x. (R1(x) -> R2(x)))) -> (exists x. R2(x)),Hard,VALID,8,0.12
61,F61,(forall x. (exists y. (R1(x) and R2(y)))) -> ((forall x. R1(x)) and (exists x. R2(x))),Complex,VALID,13,0.21
62,F62,((forall x. (F(x) or G(x))) and (forall x. (F(x) -> H(x))) and not (exists x. H(x))) -> forall x. G(x),Complex,VALID,13,0.29
